#nb_days;#heure_repas_debut;#heure_repas_fin
75;12h15;14h00
#Cours;#Prof;#Groupe;#Batiment;#Salle;#Jour;#heure_debut;#heure_fin;#session_type
Electro;Tom;1_C;GB;GB42;0;09h30;10h45;TD
Electro;Tom;1_C;GB;GB43;0;11h00;12h15;TD
Elec;Gégé;1_C;Principal;Vinci;0;14h00;15h15;CM
SI;Remy;1_C;MFJA;MFJA;0;16h00;18h30;TP
Penser;Seb;1_C;GB;GB42;1;08h00;09h15;TD
Electro;Eric;1_C;GP;GP2;1;09h30;12h30;TP
Thermo;Max;1_C;GB;GB42;1;14h00;15h15;TD
Elec;Gégé;1_C;GB;GB42;1;15h30;16h45;TD
Elec;Gégé;1_C;Principal;Vinci;2;08h00;09h15;CM
Mat2;Euler;1_C;Principal;Vinci;2;09h30;10h45;CM
Mat2;Gauss;1_C;Principal;Amphi102;2;11h00;12h15;TD
Electro;Tom;1_C;CSH;CSH010;2;14h00;15h15;TD
Sport;Kylian;1_C;Gym;Gym;3;16h00;17h45;APS
Elec;Gégé;1_C;Principal;Vinci;3;8h00;9h15;CM
Esp;Leticia;1_C;CSH;CSH006;3;09h30;10h45;TD
Ang;Kate;1_C;CSH;CSH013;4;08h00;09h15;TD
Ang;Kate;1_C;CSH;CSH013;4;09h30;10h45;TD
Elec;Chris;1_C;GM;GM116;4;14h00;15h15;TD
Expr;Barde;1_C;CSH;CSH106;4;15h30;18h15;TD
Penser;Jo;1_E;CSH;CSH215;0;11h00;12h15;TD
Mat2;Gauss;1_E;Principal;Amphi103;0;14h00;15h15;TD
Elec;Gégé;1_E;Principal;Amphi9;0;15h30;16h45;TD
Thermo;Max;1_E;GMM;GMM13;0;17h00;18h15;TD
Elec;Gégé;1_E;Principal;Amphi103;1;08h00;09h15;TD
Sport;Antoine;1_E;Gym;Gym;2;16h00;17h45;APS
Electro;Tom;1_E;Principal;Amphi112;1;14h00;15h15;CM
Esp;Fiore;1_E;CSH;CSH111;1;15h30;18h15;TD
Elec;Chris;1_E;Principal;Amphi101;2;08h00;09h15;TD
Mat2;Gauss;1_E;Principal;Amphi5;2;09h30;10h45;TD
ProfComm;Moore;1_E;CSH;CSH015;2;12h15;15h00;TD
Electro;Tom;1_E_a;GP;GP1;1;09h30;12h30;TP
Electro;Eric;1_E_b;GP;GP1;0;08h00;11h00;TP
Esp;Fiore;1_E;CSH;CSH011;3;09h30;10h45;TD
Mat2;Gauss;1_E;Principal;Amphi7;3;11h00;12h15;TD
Tutorat;Moore;1_E;CSH;CSH206;3;14h00;16h00;TD
SI;Remy;1_E;MFJA;MFJA;4;10h00;12h30;TP
Elec;Gégé;1_E;GP;GP218;4;15h30;16h45;TD
Elec;Gégé;1_G;GB;GB43;0;08h00;09h15;TD
Mat2;Gauss;1_G;Principal;Amphi9;0;09h30;10h45;TD
Mat2;Gauss;1_G;GMM;GMM13;0;11h00;12h15;TD
Electro;Tom;1_G;GB;GB108;0;14h00;15h15;TD
Ang;Kate;1_G;CSH;CSH104;0;15h30;16h45;TD
Ang;Kate;1_G;CSH;CSH104;0;17h00;18h15;TD
Mat2;Euler;1_G;Principal;Riquet;1;08h00;09h15;CM
Mat2;Gauss;1_G;Principal;Amphi101;1;09h30;10h45;TD
Esp;Leticia;1_G;CSH;CSH211;1;11h00;12h15;TD
Thermo;Mayer;1_G;GB;GB108;1;14h00;15h15;TD
Sport;Kylian;1_G;Gym;Gym;1;15h30;17h15;APS
InvSym;Lau;1_G;GP;GP218;2;08h00;09h15;TD
SI;Remy;1_G;MFJA;MFJA;2;10h00;12h30;TP
Elec;Gégé;1_G;Principal;Vinci;2;13h30;15h15;CM
Elec;Gégé;1_G;Principal;Vinci;3;08h00;09h15;CM
Elec;Chris;1_G;GP;GP218;3;09h30;10h45;TD
Penser;Gwen;1_G;GB;GB42;3;11h00;12h15;TD
Expr;Barde;1_G;CSH;CSH211;4;09h30;12h15;TD
Electro;Tom;1_G;GP;GP1;4;15h30;18h30;TP
Electro;Tom;1_C;GB;GB42;5;09h30;10h45;TD
Electro;Tom;1_C;GB;GB43;5;11h00;12h15;TD
Elec;Gégé;1_C;Principal;Vinci;5;14h00;15h15;CM
SI;Remy;1_C;MFJA;MFJA;5;16h00;18h30;TP
Penser;Seb;1_C;GB;GB42;6;08h00;09h15;TD
Electro;Eric;1_C;GP;GP2;6;09h30;12h30;TP
Thermo;Max;1_C;GB;GB42;6;14h00;15h15;TD
Elec;Gégé;1_C;GB;GB42;6;15h30;16h45;TD
Elec;Gégé;1_C;Principal;Vinci;7;08h00;09h15;CM
Mat2;Euler;1_C;Principal;Vinci;7;09h30;10h45;CM
Mat2;Gauss;1_C;Principal;Amphi102;7;11h00;12h15;TD
Electro;Tom;1_C;CSH;CSH010;7;14h00;15h15;TD
Sport;Kylian;1_C;Gym;Gym;8;16h00;17h45;APS
Elec;Gégé;1_C;Principal;Vinci;8;8h00;9h15;CM
Esp;Leticia;1_C;CSH;CSH006;8;09h30;10h45;TD
Ang;Kate;1_C;CSH;CSH013;9;08h00;09h15;TD
Ang;Kate;1_C;CSH;CSH013;9;09h30;10h45;TD
Elec;Chris;1_C;GM;GM116;9;14h00;15h15;TD
Expr;Barde;1_C;CSH;CSH106;9;15h30;18h15;TD
Penser;Jo;1_E;CSH;CSH215;5;11h00;12h15;TD
Mat2;Gauss;1_E;Principal;Amphi103;5;14h00;15h15;TD
Elec;Gégé;1_E;Principal;Amphi9;5;15h30;16h45;TD
Thermo;Max;1_E;GMM;GMM13;5;17h00;18h15;TD
Elec;Gégé;1_E;Principal;Amphi103;6;08h00;09h15;TD
Sport;Antoine;1_E;Gym;Gym;7;16h00;17h45;APS
Electro;Tom;1_E;Principal;Amphi112;6;14h00;15h15;CM
Esp;Fiore;1_E;CSH;CSH111;6;15h30;18h15;TD
Elec;Chris;1_E;Principal;Amphi101;7;08h00;09h15;TD
Mat2;Gauss;1_E;Principal;Amphi5;7;09h30;10h45;TD
ProfComm;Moore;1_E;CSH;CSH015;7;12h15;15h00;TD
Electro;Tom;1_E_a;GP;GP1;6;09h30;12h30;TP
Electro;Eric;1_E_b;GP;GP1;5;08h00;11h00;TP
Esp;Fiore;1_E;CSH;CSH011;8;09h30;10h45;TD
Mat2;Gauss;1_E;Principal;Amphi7;8;11h00;12h15;TD
Tutorat;Moore;1_E;CSH;CSH206;8;14h00;16h00;TD
SI;Remy;1_E;MFJA;MFJA;9;10h00;12h30;TP
Elec;Gégé;1_E;GP;GP218;9;15h30;16h45;TD
Elec;Gégé;1_G;GB;GB43;5;08h00;09h15;TD
Mat2;Gauss;1_G;Principal;Amphi9;5;09h30;10h45;TD
Mat2;Gauss;1_G;GMM;GMM13;5;11h00;12h15;TD
Electro;Tom;1_G;GB;GB108;5;14h00;15h15;TD
Ang;Kate;1_G;CSH;CSH104;5;15h30;16h45;TD
Ang;Kate;1_G;CSH;CSH104;5;17h00;18h15;TD
Mat2;Euler;1_G;Principal;Riquet;6;08h00;09h15;CM
Mat2;Gauss;1_G;Principal;Amphi101;6;09h30;10h45;TD
Esp;Leticia;1_G;CSH;CSH211;6;11h00;12h15;TD
Thermo;Mayer;1_G;GB;GB108;6;14h00;15h15;TD
Sport;Kylian;1_G;Gym;Gym;6;15h30;17h15;APS
InvSym;Lau;1_G;GP;GP218;7;08h00;09h15;TD
SI;Remy;1_G;MFJA;MFJA;7;10h00;12h30;TP
Elec;Gégé;1_G;Principal;Vinci;7;13h30;15h15;CM
Elec;Gégé;1_G;Principal;Vinci;8;08h00;09h15;CM
